title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Dead Snow 2: Red vs. Dead,Vegar Hoel;Ørjan Gamst;Martin Starr;Jocelyn DeBoer;Ingrid Haas,Tommy Wirkola,Tommy Wirkola;Vegar Hoel;Stig Frode Henriksen,Horror;Action;Comedy,nazis;sequel;gore;zombie;aftercreditsstinger,R,100,2014,Norwegian,66.0,-,$37473.00,,,,
Fido,Billy Connolly;Carrie-Anne Moss;Dylan Baker;Kesun Loder;Henry Czerny,Andrew Currie,Andrew Currie;Dennis Heaton;Robert Chomiak,Romance;Comedy;Drama;Horror,black humor;satire;dark comedy;gore;decapitation;spoof;zombie;suburb;canuxploitation,R,91,2006,English,66.0,$8000000.00,$426224.00,,,,
The Bucket List,Jack Nicholson;Morgan Freeman;Sean Hayes;Beverly Todd;Alfonso Freeman,Rob Reiner,Justin Zackham,Drama;Comedy,africa;himalaya;brain tumor;parent child relationship;wife husband relationship;sense of life;male friendship;safari;dying and death;wish;journey round the world;terminal illness;billionaire;estranged father;elderly;bucket list;taj mahal,PG-13,97,2007,English,70.0,$45000000.00,$175372502.00,,,,
Blazing Saddles,Cleavon Little;Gene Wilder;Harvey Korman;Slim Pickens;Madeline Kahn,Mel Brooks,Andrew Bergman;Andrew Bergman;Mel Brooks;Alan Uger;Norman Steinberg;Richard Pryor,Western;Comedy,gun;saloon;governor;marching band;comedy;western;spoof;interrupted hanging;railroad;cowboy;western town;western spoof;ceremony;frontier town;looking at the camera;saloon girl;movie reality crossover;nietzsche;coot;self-referential;female singer;anarchic comedy,R,93,1974,English,72.0,$2600000.00,$119601481.00,,,,
Machete,Danny Trejo;Michelle Rodriguez;Jessica Alba;Robert De Niro;Lindsay Lohan,Robert Rodriguez;Ethan Maniquis,Robert Rodriguez;Álvaro Rodríguez,Action;Comedy;Thriller,loss of loved one;illegal immigration;immigration law;machete;politician;hard to kill;brutal death,R,105,2010,English,63.0,$20000000.00,$31327899.00,,,,
The Choice,Benjamin Walker;Teresa Palmer;Maggie Grace;Alexandra Daddario;Tom Welling,Ross Katz,Bryan Sipe;Nicholas Sparks,Drama;Romance,based on novel;cheating;love;opposites attract;girl next door,PG-13,111,2016,English,68.0,$10000000.00,$18730891.00,,,,
Salmon Fishing in the Yemen,Ewan McGregor;Emily Blunt;Kristin Scott Thomas;Rachael Stirling;Amr Waked,Lasse Hallström,Paul Torday;Simon Beaufoy,Drama,bureaucracy;wife husband relationship;desert;salmon;arab;yemen;missing in action;flood;dreamer;public relations,PG-13,107,2011,English,63.0,$5000000.00,$34564651.00,,,,
Wag the Dog,Dustin Hoffman;Robert De Niro;Anne Heche;Woody Harrelson;Jim Belushi,Barry Levinson,Hilary Henkin;Larry Beinhart;David Mamet,Comedy;Drama,washington d.c.;rape;cia;usa president;movie business;war veteran;staging;albania;sex scandal;senator;presidential election;gulf war;media adviser;manipulation of the media;election campaign;government;war;soldier;extramarital affair,R,97,1997,English,68.0,$15000000.00,$64256513.00,,,,
Pearl Harbor,Ben Affleck;Josh Hartnett;Kate Beckinsale;Cuba Gooding Jr.;Jon Voight,Michael Bay,Randall Wallace,History;Romance;War,nurse;patriotism;hawaii;world war ii;pilot;pearl harbor;u.s. air force;airplane;war;army;love;pin-up,PG-13,183,2001,English,66.0,$140000000.00,$449220945.00,,,,
Vegas Vacation,Chevy Chase;Beverly D'Angelo;Randy Quaid;Ethan Embry;Marisol Nichols,Stephen Kessler,Elisa Bell,Comedy,gambling;chaos;roulette;family holiday,PG,93,1997,English,60.0,$25000000.00,$36400360.00,,,,
